current rank,Manufacturer/Country,Computer/System Model,Name,where this supercomputer present,Cores	,        Rmax (PFlop/s),Rpeak (PFlop/s),Power (kW)
294,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet,",,Internet Service P,"53,760",2.33,4.48,
295,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet,",,Internet Service P,"53,760",2.33,4.48,
296,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet,",,Internet Service P,"53,760",2.33,4.48,
297,"DELL EMC
                
                
                    Saudi Arabia","- PowerEdge R440/C6320p, Intel Xeon Phi 7250/Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path,",Makman-3,Saudi Aramco,"53,300",2.32,3.58,608
298,"Lenovo
                
                
                    China","- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",F1,Service Provider T,"56,000",2.32,4.48,
299,"Inspur
                
                
                    China","Inspur TS10000 HPC Server, Xeon Gold 6226R 16C 2.9GHz, NVIDIA Tesla V100, 25G Ethernet,",,Energy Company B,"49,920",2.32,4.41,
300,"Lenovo
                
                
                    China","ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet,",,Service Provider T,"108,800",2.31,4,
301,"MEGWARE
                
                
                    Austria","- MEGWARE SLIDESX, AMD EPYC 7713 64C 2GHz, Infiniband HDR,",VSC-5,Vienna Scientific Cluster,"95,232",2.31,3.05,516
302,"Quanta Computer / Taiwan Fixed Network / ASUS Cloud
                
                
                    Taiwan","- QCT QuantaPlex T42D-2U/4N, Xeon Platinum 8280 28C 2.7GHz, InfiniBand HDR 100,",Taiwania 3,National Center for High Performance Computing,"50,400",2.3,4.35,564
303,"IBM
                
                
                    United States","- IBM Power System AC922, IBM POWER9 20C 3.6GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR,",Longhorn,Texas Advanced Computing Center/Univ. of Texas,"37,440",2.29,2.87,
304,"DELL EMC
                
                
                    United Kingdom","- PowerEdge XE8545, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 80GB​, Infiniband HDR200 dual rail,",Wilkes-3,University of Cambridge,"26,880",2.29,6.64,74
305,"Inspur
                
                
                    China","Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet,",,Internet Service P,"55,104",2.29,4.89,
306,"Atos
                
                
                    Luxembourg","- BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Mellanox HDR200 InfiniBand/ParTec ParaStation ClusterSuite,",MeluXina - Cluster Module,LuxProvide,"73,344",2.29,3,377
307,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet,",,Telecom Operator (C),"47,320",2.28,4.37,
308,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet,",,Telecom Operator (C),"47,320",2.28,4.37,
309,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet,",,Telecom Operator (C),"47,320",2.28,4.37,
310,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet,",,Telecom Operator (C),"47,320",2.28,4.37,
311,"HPE
                
                
                    Sweden","- HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10,",Dardel,KTH - Royal Institute of Technology,"69,632",2.28,2.51,
312,"DELL EMC
                
                
                    Canada","- Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDR,",Béluga,Calcul Québec/Compute Canada,"72,480",2.28,7.49,240
313,"Inspur
                
                
                    China","Inspur TS10000 HPC Server, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, InfiniBand HDR 100,",,Research Laboratory H,"40,560",2.28,3.92,
314,"Inspur
                
                
                    China","Inspur TS10000 HPC Server, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100, Infiniband HDR,",,AI company J,"40,800",2.27,3.91,
315,"HPE
                
                
                    South Korea","- Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200,",SSC-21 Scalable Module,Samsung Electronics,"16,704",2.27,2.6,103
316,"DELL EMC
                
                
                    United Kingdom","- PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-Path,",Cumulus,University of Cambridge,"50,176",2.27,2.69,530
317,"Atos
                
                
                    France","- BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2,",CEA-HFi,Commissariat a l'Energie Atomique (CEA),"73,728",2.26,2.89,
318,"Nvidia
                
                
                    Russia","- NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Infiniband,",MTS GROM,#CloudMTS,"19,840",2.26,3.01,
319,"Nvidia
                
                
                    United States","- NVIDIA DGX A100 Liquid Cooled Prototype, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR,",Tethys,NVIDIA Corporation,"19,840",2.25,2.68,72
320,"DELL EMC
                
                
                    Saudi Arabia","- Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR,",Makman-2,Saudi Aramco,"76,032",2.25,3.04,"1,134"
321,"Lenovo
                
                
                    China","- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",G1,Service Provider T,"54,000",2.24,4.32,
322,"Lenovo
                
                
                    China","ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet,",,Service Provider T,"57,600",2.24,4.61,
323,"MEGWARE
                
                
                    Germany","- Megware D50TNP, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR100,",Fritz,Universitaet Erlangen - Regionales Rechenzentrum Erlangen,"67,968",2.23,3.38,418
324,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet,",,Internet Company,"67,200",2.19,4.52,740
