current rank,Manufacturer/Country,Computer/System Model,Name,where this supercomputer present,Cores	,        Rmax (PFlop/s),Rpeak (PFlop/s),Power (kW)
1,"HPE
                
                
                    United States","- HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11,",Frontier,DOE/SC/Oak Ridge National Laboratory,"8,730,112","1,102.00","1,685.65","21,100"
2,"Fujitsu
                
                
                    Japan","- Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D,",Supercomputer Fugaku,RIKEN Center for Computational Science,"7,630,848",442.01,537.21,"29,899"
3,"HPE
                
                
                    Finland","- HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11,",LUMI,EuroHPC/CSC,"1,110,144",151.9,214.35,"2,942"
4,"IBM
                
                
                    United States","- IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband,",Summit,DOE/SC/Oak Ridge National Laboratory,"2,414,592",148.6,200.79,"10,096"
5,"IBM / NVIDIA / Mellanox
                
                
                    United States","- IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband,",Sierra,DOE/NNSA/LLNL,"1,572,480",94.64,125.71,"7,438"
6,"NRCPC
                
                
                    China","- Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway,",Sunway TaihuLight,National Supercomputing Center in Wuxi,"10,649,600",93.01,125.44,"15,371"
7,"HPE
                
                
                    United States","- HPE Cray EX235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10,",Perlmutter,DOE/SC/LBNL/NERSC,"761,856",70.87,93.75,"2,589"
8,"Nvidia
                
                
                    United States","- NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband,",Selene,NVIDIA Corporation,"555,520",63.46,79.22,"2,646"
9,"NUDT
                
                
                    China","- TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000,",Tianhe-2A,National Super Computer Center in Guangzhou,"4,981,760",61.44,100.68,"18,482"
10,"HPE
                
                
                    France","- HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11,",Adastra,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),"319,072",46.1,61.61,921
11,"Atos
                
                
                    Germany","- Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,",JUWELS Booster Module,Forschungszentrum Juelich (FZJ),"449,280",44.12,70.98,"1,764"
12,"DELL EMC
                
                
                    Italy","- PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband,",HPC5,Eni S.p.A.,"669,760",35.45,51.72,"2,252"
13,"Microsoft Azure
                
                
                    United States","- ND96amsr_A100_v4, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100 80GB​, Mellanox HDR Infiniband,",Voyager-EUS2,Azure East US 2,"253,440",30.05,39.53,
14,"HPE
                
                
                    United States","- Apollo 6500, AMD EPYC 7532 32C 2.4GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10,",Polaris,DOE/SC/Argonne National Laboratory,"256,592",25.81,34.16,
15,"HPE
                
                
                    South Korea","- Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200,",SSC-21,Samsung Electronics,"204,160",25.18,31.75,
16,"DELL EMC
                
                
                    United States","- Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR,",Frontera,Texas Advanced Computing Center/Univ. of Texas,"448,448",23.52,38.75,
17,"Atos
                
                
                    France","- BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2,",CEA-HF,Commissariat a l'Energie Atomique (CEA),"810,240",23.24,31.76,"4,959"
18,"HPE
                
                
                    Saudi Arabia","- Cray CS-Storm, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, InfiniBand HDR 100,",Dammam-7,Saudi Aramco,"672,520",22.4,55.42,
19,"Fujitsu
                
                
                    Japan","- PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR,",ABCI 2.0,National Institute of Advanced Industrial Science and Technology (AIST),"504,000",22.21,54.34,"1,600"
20,"Fujitsu
                
                
                    Japan","- PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D,",Wisteria/BDEC-01 (Odyssey),"Information Technology Center, The University of Tokyo","368,640",22.12,25.95,"1,468"
21,"IBM
                
                
                    Italy","- IBM Power System AC922, IBM POWER9 16C 3GHz, Nvidia Volta V100, Dual-rail Mellanox EDR Infiniband,",Marconi-100,CINECA,"347,776",21.64,29.35,"1,476"
22,"YANDEX, NVIDIA
                
                
                    Russia","- YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband,",Chervonenkis,Yandex,"193,440",21.53,29.42,
23,"HPE
                
                
                    Switzerland","- Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100,",Piz Daint,Swiss National Supercomputing Centre (CSCS),"387,872",21.23,27.15,"2,384"
24,"HPE
                
                
                    United States","- Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect,",Trinity,DOE/NNSA/LANL/SNL,"979,072",20.16,41.46,"7,578"
25,"HPE
                
                
                    United Kingdom","- Cray XE, AMD EPYC 7742 64C 2.25GHz, Slingshot-10,",ARCHER2,EPSRC/University of Edinburgh,"716,800",19.54,25.8,
26,"Lenovo
                
                
                    Germany","- ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path,",SuperMUC-NG,Leibniz Rechenzentrum,"305,856",19.48,26.87,
27,"HPE
                
                
                    Germany","- Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband,",Hawk,HLRS - Höchstleistungsrechenzentrum Stuttgart,"698,880",19.33,25.16,"3,906"
28,"HPE
                
                
                    Saudi Arabia","- HPE Cray EX, AMD EPYC 7702 64C 2GHz, Slingshot-10,",Ghawar-1,Saudi Aramco,"714,240",19.26,22.86,
29,"HPE
                
                
                    United States","- HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11,",Frontier TDS,DOE/SC/Oak Ridge National Laboratory,"120,832",19.2,23.11,309
30,"IBM / NVIDIA / Mellanox
                
                
                    United States","- IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100,",Lassen,DOE/NNSA/LLNL,"288,288",18.2,23.05,
31,"Lenovo
                
                
                    South Korea","- ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR,",Guru,Korea Meteorological Administration,"306,432",18,25.5,"3,296"
32,"Lenovo
                
                
                    South Korea","- ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR,",Maru,Korea Meteorological Administration,"306,432",18,25.5,"3,296"
33,"IBM
                
                
                    France","- IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100,",PANGEA III,Total Exploration Production,"291,024",17.86,25.03,"1,367"
34,"Nvidia
                
                
                    United States","- NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR,",HiPerGator AI,University of Florida,"138,880",17.2,21.31,583
35,"Fujitsu
                
                
                    Japan","- PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D,",TOKI-SORA,Japan Aerospace eXploration Agency,"276,480",16.59,19.46,
36,"Microsoft Azure
                
                
                    United States","- NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR,",Pioneer-EUS,Azure East US,"157,440",16.59,24.56,
37,"Microsoft Azure
                
                
                    United States","- NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR,",Pioneer-SCUS,Azure South Central US,"157,440",16.59,24.56,
38,"Microsoft Azure
                
                
                    Netherlands","- NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR,",Pioneer-WEU,Azure West Europe,"157,440",16.59,24.56,
39,"Microsoft Azure
                
                
                    United States","- NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR,",Pioneer-WUS2,Azure West US 2,"157,440",16.59,24.56,
40,"YANDEX, NVIDIA
                
                
                    Russia","- YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband,",Galushkin,Yandex,"134,912",16.02,20.64,
41,"HPE
                
                
                    United States","- Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ,",Cori,DOE/SC/LBNL/NERSC,"622,336",14.01,27.88,"3,939"
42,"HPE
                
                
                    South Korea","- Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path,",Nurion,Korea Institute of Science and Technology Information,"570,020",13.93,25.71,
43,"NVIDIA, Inspur
                
                
                    Russia","- Inspur NF5488A5, AMD EPYC 7662 64C 2GHz, NVIDIA A100 40GB, Infiniband,",Lyapunov,Yandex,"130,944",12.81,20.03,
44,"HPE
                
                
                    Italy","- Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100,",HPC4,Eni S.p.A.,"253,600",12.21,18.62,"1,320"
45,"Atos
                
                
                    France","- Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2,",Tera-1000-2,Commissariat a l'Energie Atomique (CEA),"561,408",11.97,23.4,"3,178"
46,"Nvidia
                
                
                    Russia","- NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband,",Christofari Neo,SberCloud,"98,208",11.95,14.91,
47,"DELL EMC
                
                
                    United States","- PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path,",Stampede2,Texas Advanced Computing Center/Univ. of Texas,"367,024",10.68,18.31,
48,"Atos
                
                
                    Luxembourg","- BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,",MeluXina - Accelerator Module,LuxProvide,"99,200",10.52,15.29,390
49,"HPE
                
                
                    United States","- HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10,",Cactus,GDIT/NOAA/WCOSS,"327,680",10.01,11.8,
50,"HPE
                
                
                    United States","- HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10,",Dogwood,GDIT/NOAA/WCOSS,"327,680",10.01,11.8,
51,"NEC
                
                
                    Japan","- SX-Aurora TSUBASA B401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200,",Earth Simulator -SX-Aurora TSUBASA,Japan Agency for Marine-Earth Science and Technology,"43,776",9.99,13.45,"1,391"
52,"Amazon Web Services
                
                
                    United States","- Amazon EC2 r5.24xlarge, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet,",Amazon EC2 Instance Cluster us-east-1a,Descartes Labs,"172,692",9.95,15.11,
53,"Nvidia
                
                
                    United States","- NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR,",NVIDIA Cambridge-1 DGX SuperPOD,NVIDIA Corporation,"79,360",9.68,12.05,
54,"HPE
                
                
                    Japan","Apollo 6500, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband,",,Research Institute,"72,384",9.46,9.67,
55,"Nvidia
                
                
                    United States","- NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR,",DGX SuperPOD,NVIDIA Corporation,"127,488",9.44,11.21,
56,"Atos
                
                
                    Germany","- BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,",JURECA Data Centric Module,Forschungszentrum Juelich (FZJ),"105,840",9.33,14.51,384
57,"Fujitsu / Lenovo
                
                
                    Australia","- PRIMERGY CX2570 M5, ThinkSystem SD650, Xeon Platinum 8274/8268, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband,",Gadi,National Computational Infrastructure (NCI Australia),"204,032",9.26,15.14,
58,"HPE
                
                
                    United States","- HPE Apollo 9000/HPE SGI 8600, AMD EPYC 7742 64C 2.25GHz/Intel Xeon Gold 6248 20C 2.5GHz, Mellanox EDR/HDR Infiniband,",Aitken,NASA/Ames Research Center/NAS,"293,936",9.07,12.49,"2,010"
59,"Quanta Computer / Taiwan Fixed Network / ASUS Cloud
                
                
                    Taiwan","- QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2,",Taiwania 2,National Center for High Performance Computing,"170,352",9,15.21,798
60,"Atos
                
                
                    Brazil","- Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR,",Dragão,Petróleo Brasileiro S.A,"188,224",8.98,14.01,943
61,"Lenovo
                
                
                    Germany","- ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband,",Raven-GPU,Max-Planck-Gesellschaft MPI/IPP,"96,768",8.62,16.03,377
62,"IBM
                
                
                    United States","- IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband,",AiMOS,Rensselaer Polytechnic Institute Center for Computational Innovations (CCI),"130,000",8.34,11.03,512
63,"Atos
                
                
                    France","- Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100,",Taranis,Meteo France,"294,912",8.19,10.32,"1,672"
64,"HPE
                
                
                    Japan","- SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2,",TSUBAME3.0,"GSIC Center, Tokyo Institute of Technology","135,828",8.12,12.13,792
65,"HPE
                
                
                    United States","- Apollo 2000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR,",Roxy,Government,"174,720",8.12,13.98,
66,"Lenovo
                
                
                    Germany","- ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband,",HoreKa-Green,Karlsruher Institut für Technologie (KIT),"90,932",8.03,15.01,359
67,"HPE
                
                
                    United States","- HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10,",Narwhal,Navy DSRC,"276,480",8.02,11.5,
68,"NEC
                
                
                    Japan","- SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200,",Plasma Simulator,National Institute for Fusion Science (NIFS),"34,560",7.89,10.51,"1,550"
69,"Lenovo
                
                
                    Canada","- ThinkSystem SD650-N V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR,",Underhill,Shared Services Canada,"148,320",7.76,10.92,"1,295"
70,"Lenovo
                
                
                    Canada","- ThinkSystem SD650-N V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR,",Robert,Shared Services Canada,"148,320",7.76,10.92,"1,295"
71,"Atos
                
                
                    France","- Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100,",Belenos,Meteo France,"294,912",7.68,10.47,"1,655"
72,"HPE
                
                
                    Germany","- Apollo 6500, AMD EPYC 7F52 16C 3.5GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband,",alpha ONE,Aleph Alpha,"57,344",7.62,7.86,
73,"HPE
                
                
                    United States","- Apollo 2000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR,",PupMaya,Government,"169,920",7.48,12.9,
74,"Nvidia
                
                
                    United Arab Emirates","- NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100,",Artemis,Group 42,"107,568",7.26,9.49,673
75,"HPE
                
                
                    United Kingdom","Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ,",,United Kingdom Meteorological Office,"241,920",7.04,8.13,
76,"Atos
                
                
                    Germany","- BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100,",Levante,DKRZ - Deutsches Klimarechenzentrum,"308,096",7,10.28,
77,"Atos
                
                
                    France","- Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100,",JOLIOT-CURIE ROME,CEA/TGCC-GENCI,"197,120",6.99,12.04,"1,436"
78,"HPE
                
                
                    United States","- Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect ,",Theta,DOE/SC/Argonne National Laboratory,"280,320",6.92,11.66,
79,"HPE
                
                
                    Czechia","- Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200,","Karolina, GPU partition","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava","71,424",6.75,9.08,311
80,"Nvidia
                
                
                    Russia","- NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100,",Christofari,SberCloud,"99,600",6.67,8.79,
81,"Fujitsu
                
                
                    Japan","- PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D,",Flow,"Information Technology Center, Nagoya University","110,592",6.62,7.79,
82,"Lenovo
                
                
                    Spain","- Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path,",MareNostrum,Barcelona Supercomputing Center,"153,216",6.47,10.3,"1,632"
83,"HPE
                
                
                    United States","- Cray XC40, Xeon E5-2699v4  22C 2.2GHz, Aries interconnect ,",ONYX,ERDC DSRC,"211,816",6.32,7.46,
84,"HPE
                
                
                    Finland","- HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-10,",LUMI-C,EuroHPC/CSC,"194,560",6.3,7.63,"1,216"
85,"HPE
                
                
                    South Korea","- Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband,",Titan,SKT,"56,544",6.29,7.19,
86,"Atos
                
                
                    Germany","- Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite,",JUWELS Module 1,Forschungszentrum Juelich (FZJ),"114,480",6.18,9.89,"1,361"
87,"HPE
                
                
                    Japan","HPE SGI 8600, Xeon Gold 6248R 24C 3GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR,",,Japan Atomic Energy Agency(JAEA)/ National Institutes for Quantum and Radiological Science and Technology(QST),"100,096",6.16,8.44,
88,"NEC
                
                
                    Japan","- NEC LX 103Bj-8, Xeon Platinum 8368 38C 2.4GHz, Infiniband HDR200,",SQUID - CPU Nodes,Osaka University,"115,520",6.11,8.87,"1,222"
89,"Atos
                
                
                    Germany","- Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path,",Lise,HLRN at ZIB/Konrad Zuse-Zentrum Berlin,"121,920",6.05,8.93,
90,"HPE
                
                
                    United States","- SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR,",Pleiades,NASA/Ames Research Center/NAS,"241,108",5.95,7.11,"4,407"
91,"Atos
                
                
                    Germany","- BullSequana X, Intel Xeon Platinum 9242/Gold 6148, Intel Omni-Path,",Emmy+,HLRN+ at GWDG/University of Göttingen,"120,296",5.95,8.91,
92,"DELL EMC
                
                
                    Canada","- PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100, InfiniBand HDR100,",Narval (GPU),Calcul Québec/Compute Canada,"76,320",5.89,12.17,311
93,"HPE
                
                
                    United States","- HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR ,",Sawtooth,Idaho National Laboratory,"99,792",5.78,9.22,"1,432"
94,"Cray Inc./Hitachi
                
                
                    Japan","Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ,",,Japan Meteorological Agency,"135,792",5.73,9.13,"1,354"
95,"Cray Inc./Hitachi
                
                
                    Japan","Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ,",,Japan Meteorological Agency,"135,792",5.73,9.13,"1,354"
96,"Intel
                
                
                    Germany","- Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path,",COBRA,Max-Planck-Gesellschaft MPI/IPP,"127,520",5.61,9.79,"1,635"
97,"HPE
                
                
                    Saudi Arabia","- Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ,",Shaheen II,King Abdullah University of Science and Technology,"196,608",5.54,7.24,"2,834"
98,"HPE
                
                
                    United States","- HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB,",Electra,NASA/Ames Research Center/NAS,"124,416",5.44,8.32,"1,686"
99,"Lenovo
                
                
                    Germany","- ThinkSystem SD650 V2, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR 100,",Raven,Max-Planck-Gesellschaft MPI/IPP,"114,624",5.42,8.8,
100,"Atos
                
                
                    Finland","- Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100,",MAHTI,CSC (Center for Scientific Computing),"169,728",5.39,7.06,"1,070"
101,"HPE
                
                
                    France","- SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR,",Pangea,Total Exploration Production,"220,800",5.28,6.71,"4,150"
102,"Atos
                
                
                    Sweden","- NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR,",Berzelius,National Supercomputer Centre (NSC),"59,520",5.25,9.64,
103,"Atos
                
                
                    United Kingdom","- BullSequana XH2000, AMD EPYC 7302 32C 3GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband,","DiRAC, Tursa",University of Edinburgh,"55,552",5.23,8.58,244
104,"HPE
                
                
                    United States","- Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path,",TX-GAIA (Green AI Accelerator),MIT Lincoln Laboratory Supercomputing Center,"88,400",5.16,6.98,"1,436"
105,"Format sp. z o.o.
                
                
                    Poland","- FormatServer THOR ERG21, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR,",Athena,Cyfronet,"47,616",5.05,7.71,147
106,"Nvidia
                
                
                    United States","- NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband,",BioHive-1,Recursion,"39,680",4.9,5.71,
107,"Fujitsu
                
                
                    Japan","- PRIMERGY CX2570 M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR,",Flow Type II subsystem,"Information Technology Center, Nagoya University","79,560",4.88,7.52,
108,"HPE
                
                
                    United States","- HPE SGI 8600, Xeon Gold 6154 18C 3GHz, EDR Infiniband/ 8D Hypercube,",Eagle,National Renewable Energy Laboratory,"75,600",4.85,7.26,
109,"HPE
                
                
                    United States","- SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR,",Cheyenne,National Center for Atmospheric Research (NCAR),"144,900",4.79,5.33,"1,727"
110,"Atos
                
                
                    Norway","- Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband,",Betzy,UNINETT Sigma2 AS,"172,032",4.72,6.19,
111,"Atos
                
                
                    India","- NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband,",PARAM Siddhi-AI,Center for Development of Advanced Computing (C-DAC),"41,664",4.62,5.27,
112,"Fujitsu
                
                
                    Japan","- Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR,",ITO - Subsystem A,"Research Institute for Information Technology, Kyushu University","72,000",4.54,6.91,
113,"Atos
                
                
                    Bulgaria","- BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Infiniband HDR,",Discoverer,Consortium Petascale Supercomputer Bulgaria,"144,384",4.52,5.94,
114,"HPE
                
                
                    France","- HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path,",Jean Zay,CNRS/IDRIS-GENCI,"93,960",4.48,7.35,
115,"Fujitsu
                
                
                    Japan","- PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR,",Wisteria/BDEC-01 (Aquarius),"Information Technology Center, The University of Tokyo","42,120",4.42,7.27,184
116,"Atos
                
                
                    Brazil","- Bull 4029GP-TVRT, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR,",Atlas,Petróleo Brasileiro S.A,"91,936",4.38,8.85,547
117,"Sugon
                
                
                    China","- Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus,",Advanced Computing System(PreE),Sugon,"163,840",4.33,6.13,380
118,"Atos
                
                
                    France","- BullSequana X, Xeon Platinum 8260 24C 2.4GHz, Infiniband HDR,",CRONOS,EDF,"81,600",4.3,7.14,"1,226"
119,"Fujitsu
                
                
                    Japan","- Fujitsu PRIMERGY CX2550/CX2560 M5, Xeon Platinum 8280 28C 2.7GHz, Intel Omni-Path,",Oakbridge-CX,"Information Technology Center, The University of Tokyo","76,608",4.29,6.62,845
120,"Penguin Computing, Inc.
                
                
                    United States","- Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path,",SNL/NNSA CTS-1 Manzano,Sandia National Laboratories,"71,424",4.28,6.63,960
121,"Atos
                
                
                    Germany","- BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100,",Noctua 2,Universitaet Paderborn – PC2,"135,168",4.19,5.3,869
122,"HPE
                
                
                    Japan","Apollo 6500 XL270d Gen10, Xeon Gold 6140 18C 2.3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2,",,Research Institute,"70,416",4.13,5.78,
123,"HPE
                
                
                    United States","- HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11,",rzVernal,DOE/NNSA/LLNL,"35,872",4.1,6.93,
124,"Atos
                
                
                    France","- Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR,",JOLIOT-CURIE SKL,CEA/TGCC-GENCI,"79,488",4.07,6.64,917
125,"HPE
                
                
                    United States","- Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ,",Abel,Petroleum Geo-Services,"145,920",4.04,5.37,"1,800"
